Year,Section,Content
1992,In the National League...,"Pittsburgh's Andy Van Slyke became the first outfielder in nearly eighteen years to record an unassisted double play. As the Pirates took on the Houston Astros, Van Slyke made a running catch in shallow center followed by a tag on Ken Caminiti, who was running from second base on the play.

Los Angeles Dodger Kevin Gross dominated the mound after tossing ninety-nine pitches (seventy-one for strikes) in a no-hitter, 2-0 triumph over the San Francisco Giants.

Eddie Murray topped the New York Yankees' Mickey Mantle for the most RBIs ever by a switch-hitter (1,510) after blasting two home two runs in the Mets 15-1 win over the Pittsburgh Pirates."
1992,Around the league...,"Tom Seaver and Rollie Fingers were elected to the Baseball Hall of Fame while Pete Rose, ineligible because of his ban from baseball for allegedly betting on games, surprisingly received forty-one write-in votes.

Nintendo president Hiroshi Yamauchi of Japan petitioned the baseball owners for permission to purchase the Seattle Mariners. The owners approved the request 25-1 marking the first non-North American ownership of a Major League team.

Commissioner Fay Vincent ordered the realignment of the National League moving the Chicago Cubs and St. Louis Cardinals into the Western Division. Later in the season, the owners voted 18-9 (with one abstention) calling for Vincent's resignation and the Commissioner obliged them three days after failing to receive a vote of confidence. Baseball's executive council rescinded the National League realignment following Vincent's departure.

In November, baseball held an expansion draft, resulting in seventy-two selections, to fill the rosters of the National League's two newest teams, the Florida Marlins and Colorado Rockies.

""If a tie is like kissing your sister, losing is like kissing your grandmother with her teeth out."" - George Brett"
1993,Off the field...,"On February 26, 1993 more than 1,000 lb. of explosives shook the north tower of the World Trade Center in New York leaving six people dead and over one thousand injured. The incident marked the first time in modern history that a terrorist attack was launched on American soil. Unfortunately, it would not be the last.

After an unsuccessful raid by the U.S. Bureau of Alcohol, Tobacco and Firearms on David Koresh's Branch Davidian compound at Waco, Texas, the FBI and U.S. Army took over, mounting a fifty-one day siege. The standoff ended in tragedy when a fire broke out as government agents attempted to storm the compound. In the end, all seventy four cult members inside perished.

An attempt by a U.S. Special Forces team (including Delta Force and Army Rangers) to abduct two top lieutenants of a Somali warlord in Mogadishu, Somalia resulted in the downing of two Black Hawk helicopters and the longest sustained firefight involving American troops since the Vietnam War. The following morning, eighteen Americans were dead and more than seventy were badly injured."
1993,In the American League...,"Carlos Baerga became the first switch-hitter in Major League history to homer from both sides of the plate in the same inning as the Cleveland Indians topped the New York Yankees 15-5.

Kansas City's Greg Gagne belted the 10,000th hit in the history of Detroit's Tiger Stadium, making it the first ballpark to reach that figure. The Royals went on to defeat the home team 12-6.

Carlton Fisk, then with the Chicago White Sox, played in his 2,226 and final Major League game, surpassing Bob Boone's record for the most games caught. Following the historical outing, Fisk reluctantly retired with 3,999 total bases, the most ever for a catcher."
1993,In the National League...,"The Pittsburgh Pirate's Tim Wakefield set the record for the most pitches thrown in a single game in the 1990s. The Bucco's knuckler tossed one-hundred seventy-two en route to a 6-2 victory over the Atlanta Braves. The last pitcher to match Wakefield was the Los Angeles Dodgers' Fernando Valenzuela in 1987.

On July 7th, the Los Angeles Dodgers and Philadelphia Phillies went head-to-head in a twenty-inning marathon that lasted six hours and ten minutes. The grueling contest finally ended after Lenny Dykstra hit a clutch, bases-loaded two-run double off Rod Nichols for the 7-6 finale.

The San Diego Padres appointed a twenty-nine year-old named Randy Smith as their new Vice President of Baseball Operations and General Manager, making him the youngest General Manager in the history of Major League Baseball."
1993,Around the league...,"The Reverend Jesse Jackson accused baseball owners of discrimination practices and threatened to start a selective boycott unless a plan to hire more minorities for front-office jobs was in place by April 5.

Marge Schott, the Cincinnati Reds owner, was fined $25,000 by the commissioner's office and banned for an entire season after several complaints were filed accusing her of using of ethnic and racial slurs.

George Steinbrenner was finally able to resume his role as general partner of the New York Yankees after a suspension from baseball due to questionable dealings with renowned gambler Howard Spira.

In an effort to broaden both leagues and expand post-season opportunities, a vote was cast to divide both the American and National into three divisions and add another round of playoffs featuring two additional wild-card teams.

""I wanted to be like Nolan Ryan. I didn't want to be like Pete Gray."" - Jim Abbott"
1994,Off the field...,"A major earthquake, measuring 6.7 on the Richter Scale, struck the densely populated San Fernando Valley in northern Los Angeles. In the aftermath, fifty-seven people were killed, 1,500 were injured and over 12,500 buildings were damaged.

Richard M. Nixon, the thirty-seventh President of the United States, who won a record landslide and resigned in disgrace twenty-one months later died after suffering a stroke at the age of eighty-one.

U.S. national champion figure skater Nancy Kerrigan, a 1992 Olympic bronze medalist and one of the favorites to win the gold medal, was attacked after a practice at the U.S. Olympic trials. It was later discovered that one of her rivals, Tonya Harding and her husband were behind the plot."
1994,In the American League...,"Cleveland Indians pitcher Paul Shuey went four (K's) for four in the ninth inning of the Tribe's 9-3 win over the Detroit Tigers. In doing so he became only the tenth pitcher in American League history, (and the first rookie) to strike out four batters in a single inning.

The Twins' Pedro Munoz drove in seven runs to defeat the Detroit Tigers 21-7 as Minnesota became the first team since the 1950 Red Sox to score more than twenty runs in a game, two times in the same season. Their previous rally was a 21-2 homerun derby over the Boston Red Sox.

Kevin Appier, of the Kansas City Royals, set an all-time record (traced back to 1986) after striking out thirteen Texas Rangers in only five and 2/3 innings of work. To date, no pitcher, in the history of baseball had ever pitched less than six innings in a game with that many strikeouts."
1994,In the National League...,"The Chicago Cubs' Tuffy Rhodes became the first National League player to tally three home runs (all consecutive) on Opening Day at Wrigley Field. Despite the setback, Dwight Gooden and the New York Mets held on to beat the home team 12-8.

The St. Louis Cardinals set a new major-league record by stranding sixteen base runners in a 4-0 shutout by the Philadelphia Phillies. After eight innings, the game remained scoreless, but reliever Mike Perez stumbled in the ninth surrendering two hits, one walk and a three-run homer.

Jeff Bagwell became the twenty-eighth player in Major League history to homer twice in the same inning as Houston rallied for nine runs in the sixth during a 16-4 massacre over the Los Angeles Dodgers."
1995,Off the field...,"A massive bomb inside a rental truck exploded outside the Murrah Federal Building in downtown Oklahoma City, demolishing half of the nine-story structure and killing one-hundred sixty-eight people. Timothy McVeigh, a former U.S. soldier turned domestic terrorist, was later convicted and sentenced to death for his crime in 1997.

Big business got even bigger in 1995 as several mega-media companies merged including ABC and Disney, Westinghouse and CBS and Turner Broadcasting and Time Warner.

Pro Football Hall of Famer and television celebrity O. J. Simpson went on trial for the murder of his ex-wife Nicole Brown Simpson and Ronald Goldman. The media circus surrounding the event as well as one-hundred thirty-three days of televised courtroom testimony turned countless viewers into Simpson trial junkies."
1995,In the American League...,"The ""Iron Man"" finally roped the ""Iron Horse"" as Baltimore Oriole Cal Ripken Jr. matched Yankee great Lou Gehrig by appearing in his 2,130th consecutive game. The amazing record spanned 16½ years and validated the shortstop as modern baseball's most durable, hard-working and determined player. Amidst a finale of fireworks, play is stopped for twenty-two minutes as Ripken takes a celebratory lap around Camden Yards.

On September 8th, the Cleveland Indians clinched the American League Central Division after their one-hundred twenty-third game of the season. The feat marked the fastest that any team had ever won a title and moved the Tribe ahead in the American League race by a staggering 23½ games over their closest competitor, the Kansas City Royals.

The Boston Red Sox defeated the New York Yankees, 8-0 as the Beantown Bombers scored all eight of their runs on grand slams in back-to-back innings (John Valentin and Mo Vaughn). According to a SABR statistician, it was the only game ever to finish with two grand slams accounting for all of the runs scored."
1995,In the National League...,"Hideo Nomo became the first Japanese player to appear in the Major Leagues since 1964 when he tossed five innings for the Los Angeles Dodgers in a 13-inning, 4-3 loss to the San Francisco Giants.

On May 6th, seven National League games resulted in a combined one-hundred eighteen runs that tied the record for the highest-scoring day in National League history. Seven of the fourteen teams scored at least ten runs, led by the Los Angeles Dodgers who totaled seventeen in their win over the Colorado Rockies. Ten days later, the Chicago Cubs, New York Mets, San Diego Padres, and Pittsburgh Pirates all tossed shutouts.

The St. Louis Cardinals were awarded the first forfeit victory in the Major Leagues since July 12, 1979 after fans bombard the field with more than two-hundred balls that they had received as souvenirs for August 10th's ""Ball Day"" at Dodger Stadium. The near riot was in reaction to the ejections of Raul Mondesi and manager Tommy Lasorda in the bottom of the ninth."
1996,Off the field...,"After years of investigation, federal law enforcement officials finally captured the Unabomber otherwise known as Ted Kaczynski. The anti-social academic, who developed mail bombs, was captured in a remote cabin after his own brother recognized his writing style in a lengthy manifesto that he anonymously submitted to the Washington Post.

The Summer Olympic Games celebrated its Centenary in Atlanta Georgia as a record-setting seventy-nine nations won medals and fifty-three won gold. Unfortunately, the festivities were interrupted after a terrorist bomb was detonated in Centennial Olympic Park killing one person and injuring one-hundred ten more.

After capturing an unprecedented third straight U.S. Amateur in August, twenty year-old Tiger Woods turned pro and promptly won two tourneys for $790,594. Sports Illustrated selected Woods as the 1996 Sportsman of the Year and he was only getting started."
1996,In the American League...,"The Texas Rangers showed no mercy in running up the largest score in the American League in forty-one years while massacring the league-leading Baltimore Orioles, 26-7. Sixteen of the runs came in the fifty-six minute eighth resulting in the largest eighth inning tally in baseball history.

As the Seattle Mariners hosted the Cleveland Indians on May 2nd, an earthquake, measuring 4.8 on the Richter scale, rattled the Kingdome causing the officials to suspend the game. The incident occurred in the seventh inning as the Tribe led 6-3 and after the stadium's structure was thoroughly inspected, play resumed the following day.

The Oakland Athletics' Pedro Munoz hit the longest home run in the five-year history of Camden Yards on the way to a 6-3 win over the Baltimore Orioles. The 463-foot blast to dead center field came in the sixth inning (with two on) breaking through a 2-2 tie."
1996,In the National League...,"New York Mets closer John Franco recorded his 300th save in a 3-2 win over the division-leading Montreal Expos. The left-handed reliever became the first to reach the 300-save mark exactly twelve years to the day (April 29th) after his first one, for the Cincinnati Reds, in 1984.

Los Angeles Dodger, Chan Ho Park became the first South Korean pitcher to win in the majors. The right-handed sensation from Kongju tossed four scoreless innings in relief of injured starter Ramon Martinez for the 3-1 victory over the Chicago Cubs at Wrigley Field.

Eric Davis belted his second grand slam in as many games leading the Cincinnati Reds to a 12-6 triumph over the home team San Francisco Giants. In doing so, the outfielder became the fifteenth player in Major League history to slam round-trippers in back-to-back outings and he went on to add a third slam later in the month."
1997,Off the field...,"Lady Diana, the Princess of Wales, and her male companion Dodi Fayed died in a fatal car accident near the River Seine in Paris, France. As a fitting tribute at Diana's funeral Sir Elton John sangGoodbye England's Rose, a reworking of the tuneCandle In the Wind, which he had written earlier about Marilyn Monroe.

Convicted domestic terrorist Timothy McVeigh was sentenced to death for the 1995 bombing of the Oklahoma City Federal Building. The former U.S. soldier and Gulf War veteran had turned anti-government in response to the controversial ATF raids at Waco, Texas and Ruby Ridge.

Scottish scientists announced that they had successfully cloned the first mammal, a sheep named Dolly, igniting a global debate over the advancement of cell research and the moral dilemmas of creating ""artificial"" life."
1997,In the American League...,"The Cleveland Indians put on a power-hitting clinic in Milwaukee, blasting a franchise-record eight home runs en route to a commanding 11-4 victory over the Brewers. Matt Williams led the charge with three long balls, David Justice chipped in two, and Sandy Alomar, Manny Ramirez, and Chad Curtis each went yard. But the Brewers weren’t about to go quietly—their own trio of sluggers, Dave Nilsson, Jeromy Burnitz, and John Jaha, launched three of their own, tying a Major League record for combined home runs in a regulation game. It was a night of historic fireworks, with baseballs leaving the yard at a dizzying pace!

The Toronto Blue Jays hosted the Montreal Expos in an ""all Canadian affair"", as part of the new inter-league schedule, marking the first time since World War II that the U.S. National Anthem was not heard before a Major League ball game.

New York Yankee David Wells took the mound against the Cleveland Indians apparently wearing a hat that belonged to the late Babe Ruth. The eccentric pitcher was reported as paying $35,000 for the Bambino's cap and wore the heirloom for — an inning in which he surrendered no hits. After manager Joe Torre ordered him to remove the hat, in compliance with Major League uniform regulations, the lefthander was shelled for eight hits and four runs en route to 12-8 loss."
1997,In the National League...,"Deion Sanders, of the Cincinnati Reds; was reprimanded by National League Vice President Katy Feeney for altering his uniform as a tribute to Jackie Robinson. Sanders wore his pants at knee length and trimmed the sleeves off of his jersey after seeing a photograph of the late Brooklyn Dodger on a Wheaties box. The following day his teammates mimicked his alterations circumventing the league official's decree by promoting team uniformity.

The Colorado Rockies' Andres Galarraga launched a 529-foot grand slam off of the Florida Marlins' Kevin Brown for what is considered to be one of the longest homeruns ever; second only to Mickey Mantle's 565-foot tape-measure blast.

The Florida Marlins became the first expansion team to win the World Series after only five years of existence. Although the victory was over the American League powerhouse Cleveland Indians, most fans did not grant the Marlins the respect they deserved citing the team's $89 million dollar payroll as the determining factor. The accusations eventually proved true as the financially strapped owners were forced to dismantle the majority of the franchise in the post-season expansion draft."
1998,Off the field...,"Senator John Glenn blasted off for the second time at age seventy-seven to participate in a study of the effects of weightlessness and space stress on the elderly. The veteran astronaut had no difficulties performing his duties aboard the Space Shuttle and returned to earth with flying colors.

The President of the United States, Bill Clinton, and Monica Lewinsky, a White House intern had a sex scandal dubbed Sexgate by the media. Clinton, 49 years old, and Lewinsky, 22 years old started their sexual relationship  in 1995, ended it in 1997, and made national news when coming Clinton made the following infamous statement on January 26, 1998, ""I did not have sexual relations with that woman, Ms. Lewinsky.""

Seventy-six million people tuned in to view the last installment of a ""show about nothing"" as Seinfeld broadcasted its farewell performance. The series is still the most widely viewed sitcom ever in syndication and has made creator Jerry Seinfeld one of the wealthiest royalty recipients in the history of television."
1998,In the American League...,"The Oakland Athletics Rickey Henderson scored the 2,000th run of his career in the A's 15-6 loss to the Cleveland Indians. In doing so, he joined Ty Cobb, Hank Aaron, Babe Ruth, Pete Rose, and Willie Mays as the only players to reach the milestone.

Cal Ripken started his 2,500th consecutive game as the Baltimore Orioles defeated the Oakland A's, 8-2. In perspective, the subsequent twenty-two longest active streaks (combined) add up to less than the ""Iron Man's"" own total.

Manager Joe Torre's Yankees outplayed the 1927 team and finished the season with an astonishing one hundred, fourteen regular-season wins and eleven postseason victories. The Bombers win column represented the most ""Ws"" by any team in one hundred, twenty-three years of Major League baseball."
1998,In the National League...,"Montreal Expos skipper Felipe Alou tallied his 521st career-win as manager thanks to veteran pitcher Dustin Hermanson who was also the starter in Alou's 400th, 450th, and 500th wins.

On September 8th, St. Louis Cardinal Mark McGwire topped Roger Maris' single-season home run mark by slugging his sixty-second of the year off the Chicago Cubs' Steve Trachsel. Fittingly, Sammy Sosa, McGwire's closest running mate in the race to break sixty-one, was in attendance on the field.

San Francisco Giant Barry Bonds hit his 400th home run, off the Florida Marlins' Kirt Ojala and became the first player in Major League history to boast four-hundred homeruns and four-hundred steals in a career."
1999,Off the field...,"President Bill Clinton was acquitted of impeachment charges and remained in office despite originally denying that he had improper relations with a White House intern. After a thorough investigation it was later discovered that the President had lied under oath and he eventually confessed and apologized to the American people.

The disturbing trend of violence in American schools reached an all-time high as two students entered Columbine High School with an arsenal of weapons and explosives killing thirteen of their classmates before taking their own lives.

John F. Kennedy Jr., his wife and sister in-law were killed as their plane, piloted by JFK Jr., crashed en route to a Kennedy cousin's wedding ceremony."
1999,In the American League...,"In a surprise move, the New York Yankees traded pitcher David Wells to the Toronto Blue Jays for five-time Cy Young winner Roger Clemens. Both are later reunited in pinstripes on the same Yankee rotation.

Texas Ranger Ivan ""Pudge"" Rodriguez tied the highest batting average for a catcher since Bill Dickey batted .332 in 1937. He also added thirty-five home runs, twenty-five stolen bases and one-hundred thirteen runs batted in to his cumulative stats.

The Baltimore Orioles traveled to Havana Cuba to play the national team in an exhibition game witnessed by the attending Fidel Castro. The Blackbirds defeated the Cubans 3-2 in an eleven inning affair. Two months later, the tables were turned though as the national team traveled to Camden Yards and crushed the home team 12-6 in the first game ever played between the two countries on American soil."
1999,In the National League...,"""The Big Unit"", Randy Johnson of the Arizona Diamondbacks, continued to dominate on the hill winning the National League Cy Young with a 17-9 record, 2.48 ERA, twelve complete games and an astonishing three-hundred sixty-four strike outs.

On April 23rd, St. Louis Cardinal Fernando Tatis set a Major League record as the only player ever to hit two grand slams in a single inning as well as the only player ever to drive-in eight runs during a single frame. Both slams are off of the Los Angeles Dodgers' Chan Ho Park who had certainly seen better days on the mound.

Another Cardinal, Mark McGwire continued to set a new standard at the plate by following up his record-breaking seventy-home run season with sixty-five more. The St. Louis slugger now held the #1 and #2 spots for single-season performances and belted his 500thcareer homer only a year after slamming number four-hundred."
2000,Off the field...,"""Y2K"" spawned a paranoid phenomenon due to the impending threat of the world's computers crashing. Despite millions of dollars and countless man-hours spent in preparation, the impending cyber-disaster amounted to nothing.

The U.S. presidential race between Republican candidate George W. Bush and Democratic hopeful Al Gore ended amid controversy. The world watched as the most powerful nation on earth used the courts to sort out what was the most evenly divided recent presidential election of the United States.

After years of delays, the International Space Station was finally operating in orbit thanks to a combined effort of technological resources from the U.S., Canada, Japan, Russia, eleven nations of the European Space Agency and Brazil."
2000,In the American League...,"Shortstop sensation Nomar Garciaparra earned his second consecutive batting title and Pedro Martinez earned his third Cy Young Award in four years, but it wasn't enough to get the Red Sox to the playoffs for a third consecutive season. Despite their best efforts, ""The Curse of the Bambino"" continued to reign as the Sox finished 2½ games behind the Yankees in the American League East.

The Detroit Tigers topped the Minnesota Twins, 12-11 on October 1st, as Shane Halter became the fourth Major Leaguer in history to play all nine positions in a game. Both teams combined to use fifteen pitchers, tying the Major League mark and setting an American League record.

The Cleveland Indians became the leagues fifth, triple play victim at the hands of the Baltimore Orioles during a September 1st outing. With runners at first and second and no outs, shortstop Melvin Mora intentionally dropped Sandy Alomar's pop fly, then threw to Jerry Hairston who tagged the runner at second as well as the runner coming from first. A confused Alomar retreated to the dugout believing the infield fly rule is in effect and was called out for leaving the basepath."
2000,In the National League...,"Major league baseball ordered Atlanta Braves pitcher John Rocker to undergo psychological testing following racial remarks he had made during an off-season interview with Sports Illustrated. He was later suspended for fourteen days and allowed to attend Spring Training after paying an undisclosed fine and attending sensitivity training.

The Chicago Cubs christened the 2000 season by defeating the New York Mets, 5-3 in the Tokyo Dome in Japan marking the first Major League game ever played on Asian soil.

Following the death of Montreal Canadian Maurice Richard, the Expos announced that they would wear ""The Rocket's"" number nine for the remainder of the season as a tribute to the late hockey icon. It was the first time that a Major League Baseball team was believed to have honored an athlete from another sport."
2001,Off the field...,"For the second time in the nation's history, a president's son followed in his father's footsteps as George W. Bush (Jr.) was sworn in as the United States 43rd leader.

On September 11 the world changed forever as two hijacked airplanes were flown into the World Trade Center's twin towers and a third airplane hit the Pentagon in Washington DC. A fourth plane was brought down before reaching its intended target by a heroic group of passengers in a field in western Pennsylvania. In the end, over 3,300 innocent people were killed and the United States along with a coalition of over sixty countries declared war on terrorism.

The New York Yankees weren't the only baseball team from the Bronx that played well in 2001, only to come up short in the end. The Little League team from the South Bronx stole the show at the Little League World Series in Williamsport, Pennsylvania, but was later disqualified after it was discovered that star pitcher Danny Almonte was actually a fifteen year-old ringer."
2001,In the American League...,"Baltimore Orioles icon ""Iron Man"" Cal Ripken re-enacted the final scene from ""The Natural"" with a dramatic home run blast in the third inning off of Chan Ho Park during his final All-Star Game appearance.

Despite losing three of their greatest players (Ken Griffey Jr., Randy Johnson and Alex Rodriguez) the resilient Seattle Mariners set the record for most wins in a season for an American League club, bettering the mark of one-hundred fourteen set by the already legendary 1998 Yankees. Japanese sensation Ichiro Suzuki sweetens the deal by winning Rookie of the Year as well as the Most Valuable Player.

The New York Yankees' Mike Mussina comes within one batter of perfection, but Carl Everett's two-out, ninth-inning single spoiled the Moose's bid for a perfect game. In the end, the right-handed veteran finished with a one-hitter and the Yankees swept the Boston Red Sox at Fenway."
2001,In the National League...,"A new era of baseball in Pittsburgh began with the opening of PNC Park resembling the classic stadiums of old. The park served as the fifth home for the Buccos replacing Three Rivers Stadium, which had replaced the sacred grounds at Forbes Field. Unfortunately, Pirate legend Willie Stargell died the evening before its Opening Day casting a dark shadow over the debut festivities.

Barry Bonds of the Giants broke St. Louis Cardinals' slugger Mark McGwire's single-season home run record. Before an ecstatic throng at San Francisco's Pac Bell Park, the Hall-of-Fame-bound outfielder took Chan Ho Park deep for No. 71. He would later go on to reset the record at seventy-three.

In one of the most exciting editions of the World Series, the adolescent Arizona Diamondbacks beat the 3x defending champion New York Yankees after Luis Gonzalez lined a Series-winning single off closer Mariano Rivera in the ninth inning of Game 7."
2002,Off the field...,"Big business took the witness stand in 2002 as Enron, WorldCom and Xerox were all exposed in major accounting scandals. The total cost of corporate fraud in the United States was estimated at more than five trillion dollars, coming in plunging stocks, loss of investments and tax revenue.

Russian President Vladimir Putin signed with U.S. President George W. Bush in Moscow a nuclear disarmament treaty and a strategic partnership agreement. Under the treaty, the two countries pledged to slash their nuclear arsenals by two-thirds.

On September 11, tributes around the nation showcased American emotion and patriotic pride on the one-year anniversary of the terrorist attacks on the United States. Major League Baseball held special opening ceremonies in every ballpark operating that day."
