Year,Division,Team,W,L,WP,GB,Payroll,nan,Ties
1997,Central,Chicago White Sox,80,81,.497,6,"$41,849,500",,
1997,Central,Milwaukee Brewers,78,83,.484,8,"$26,564,840",,
1997,Central,Minnesota Twins,68,94,.420,18½,"$32,197,500",,
1997,Central,Kansas City Royals,67,94,.416,19,"$33,868,149",,
1997,West,Seattle Mariners,90,72,.556,0,"$46,298,970",,
1997,West,Anaheim Angels,84,78,.519,6,"$46,684,364",,
1997,West,Texas Rangers,77,85,.475,13,"$44,591,013",,
1997,West,Oakland Athletics,65,97,.401,25,"$12,879,889",,
1998,East,New York Yankees,114,48,.704,0,"$73,963,698",,
1998,East,Boston Red Sox,92,70,.568,22,"$59,547,000",,
1998,East,Toronto Blue Jays,88,74,.543,26,"$37,618,500",,
1998,East,Baltimore Orioles,79,83,.488,35,"$74,170,921",,
1998,East,Tampa Bay Devil Rays,63,99,.389,51,"$27,645,000",,
1998,Central,Cleveland Indians,89,73,.549,0,"$56,843,441",,
1998,Central,Chicago White Sox,80,82,.494,9,"$37,880,000",,
1998,Central,Kansas City Royals,72,89,.447,16½,"$35,610,000",,
1998,Central,Minnesota Twins,70,92,.432,19,"$22,027,500",,
1998,Central,Detroit Tigers,65,97,.401,24,"$23,318,980",,
1998,West,Texas Rangers,88,74,.543,0,"$62,755,368",,
1998,West,Anaheim Angels,85,77,.525,3,"$54,189,000",,
1998,West,Seattle Mariners,76,85,.472,11½,"$44,860,014",,
1998,West,Oakland Athletics,74,88,.457,14,"$18,585,114",,
1999,East,New York Yankees,98,64,.605,0,"$91,990,955",,
1999,East,Boston Red Sox,94,68,.580,4,"$72,330,656",,
1999,East,Toronto Blue Jays,84,78,.519,14,"$48,847,300",,
1999,East,Baltimore Orioles,78,84,.481,20,"$75,443,363",,
1999,East,Tampa Bay Devil Rays,69,93,.426,29,"$37,860,451",,
1999,Central,Cleveland Indians,97,65,.599,0,"$73,531,692",,
1999,Central,Chicago White Sox,75,86,.466,21½,"$24,535,000",,
1999,Central,Detroit Tigers,69,92,.429,27½,"$36,954,666",,
1999,Central,Kansas City Royals,64,97,.398,32½,"$16,557,000",,
1999,Central,Minnesota Twins,63,97,.394,33,"$15,845,000",,
1999,West,Texas Rangers,95,67,.586,0,"$80,801,598",,
1999,West,Oakland Athletics,87,75,.537,8,"$25,208,858",,
1999,West,Seattle Mariners,79,83,.488,16,"$45,351,254",,
1999,West,Anaheim Angels,70,92,.432,25,"$51,340,257",,
2000,East,New York Yankees,87,74,.540,0,"$92,538,260",,
2000,East,Boston Red Sox,85,77,.525,2½,"$77,940,333",,
2000,East,Toronto Blue Jays,83,79,.512,4½,"$46,238,333",,
2000,East,Baltimore Orioles,74,88,.457,13½,"$81,447,435",,
2000,East,Tampa Bay Devil Rays,69,92,.429,18,"$62,765,129",,
2000,Central,Chicago White Sox,95,67,.586,0,"$31,133,500",,
2000,Central,Cleveland Indians,90,72,.556,5,"$75,880,971",,
2000,Central,Detroit Tigers,79,83,.488,16,"$58,265,167",,
2000,Central,Kansas City Royals,77,85,.475,18,"$23,433,000",,
2000,Central,Minnesota Twins,69,93,.426,26,"$16,519,500",,
2000,West,Oakland Athletics,91,70,.565,0,"$31,971,333",,
2000,West,Seattle Mariners,91,71,.562,½,"$58,915,000",,
2000,West,Anaheim Angels,82,80,.506,9½,"$51,464,167",,
2000,West,Texas Rangers,71,91,.438,20½,"$70,795,921",,
2001,East,New York Yankees,95,65,.594,0,"$109,791,893",,
2001,East,Boston Red Sox,82,79,.509,13½,"$109,558,908",,
2001,East,Toronto Blue Jays,80,82,.494,16,"$75,798,500",,
2001,East,Baltimore Orioles,63,98,.391,32½,"$72,426,328",,
2001,East,Tampa Bay Devil Rays,62,100,.383,34,"$54,798,500",,
2001,Central,Cleveland Indians,91,71,.562,0,"$91,974,979",,
2001,Central,Minnesota Twins,85,77,.525,6,"$24,350,000",,
2001,Central,Chicago White Sox,83,79,.512,8,"$62,363,000",,
2001,Central,Detroit Tigers,66,96,.407,25,"$49,831,167",,
2001,Central,Kansas City Royals,65,97,.401,26,"$35,643,000",,
2001,West,Seattle Mariners,116,46,.716,0,"$75,652,500",,
2001,West,Oakland Athletics,102,60,.630,13,"$33,810,750",,
2001,West,Anaheim Angels,75,87,.463,41,"$46,568,180",,
2001,West,Texas Rangers,73,89,.451,43,"$88,504,421",,
2002,East,New York Yankees,103,58,.640,--,"$125,928,583",,
2002,East,Boston Red Sox,93,69,.574,10½,"$108,366,060",,
2002,East,Toronto Blue Jays,78,84,.481,25½,"$76,864,333",,
2002,East,Baltimore Orioles,67,95,.414,36½,"$60,493,487",,
2002,East,Tampa Bay Devil Rays,55,106,.342,48,"$34,380,000",,
2002,Central,Minnesota Twins,94,67,.584,--,"$40,225,000",,
2002,Central,Chicago White Sox,81,81,.500,13½,"$57,052,833",,
2002,Central,Cleveland Indians,74,88,.457,20½,"$78,909,448",,
2002,Central,Kansas City Royals,62,100,.383,32½,"$47,257,000",,
2002,Central,Detroit Tigers,55,106,.342,39,"$55,048,000",,
2002,West,Oakland Athletics,103,59,.636,--,"$39,679,746",,
2002,West,Anaheim Angels,99,63,.611,4,"$61,721,667",,
2002,West,Seattle Mariners,93,69,.574,10,"$80,282,668",,
2002,West,Texas Rangers,72,90,.444,31,"$105,302,124",,
2003,East,New York Yankees,101,61,.623,--,"$152,749,814",,1
2003,East,Boston Red Sox,95,67,.586,6,"$99,946,500",,0
2003,East,Toronto Blue Jays,86,76,.531,15,"$51,269,000",,0
2003,East,Baltimore Orioles,71,91,.438,30,"$73,877,500",,1
2003,East,Tampa Bay Devil Rays,63,99,.389,38,"$19,630,000",,0
2003,Central,Minnesota Twins,90,72,.556,--,"$55,505,000",,0
2003,Central,Chicago White Sox,86,76,.531,4,"$51,010,000",,0
2003,Central,Kansas City Royals,83,79,.512,7,"$40,518,000",,0
2003,Central,Cleveland Indians,68,94,.420,22,"$48,584,834",,0
2003,Central,Detroit Tigers,43,119,.265,47,"$49,168,000",,0
2003,West,Oakland Athletics,96,66,.593,--,"$50,260,834",,0
2003,West,Seattle Mariners,93,69,.574,3,"$86,959,167",,0
2003,West,Anaheim Angels,77,85,.475,19,"$79,031,667",,0
2003,West,Texas Rangers,71,91,.438,25,"$103,491,667",,0
2004,East,New York Yankees,101,61,.623,--,"$182,835,513",,0
2004,East,Boston Red Sox,98,64,.605,3,"$125,208,542",,0
2004,East,Baltimore Orioles,78,84,.481,23,"$51,212,653",,0
2004,East,Tampa Bay Devil Rays,70,91,.435,30½,"$29,506,667",,0
2004,East,Toronto Blue Jays,67,94,.416,33½,"$50,017,000",,0
2004,Central,Minnesota Twins,92,70,.568,--,"$53,585,000",,0
2004,Central,Chicago White Sox,83,79,.512,9,"$76,212,500",,0
2004,Central,Cleveland Indians,80,82,.494,12,"$34,569,300",,0
2004,Central,Detroit Tigers,72,90,.444,20,"$46,353,554",,0
2004,Central,Kansas City Royals,58,104,.358,34,"$47,609,000",,0
2004,West,Anaheim Angels,92,70,.568,--,"$101,084,667",,0
2004,West,Oakland Athletics,91,71,.562,1,"$59,825,167",,0
2004,West,Texas Rangers,89,73,.549,3,"$54,825,973",,0
2004,West,Seattle Mariners,63,99,.389,29,"$81,543,833",,0
2005,East,New York Yankees,95,67,.586,--,"$208,206,817",,0
2005,East,Boston Red Sox,95,67,.586,--,"$123,505,125",,0
2005,East,Toronto Blue Jays,80,82,.494,15,"$45,719,500",,0
2005,East,Baltimore Orioles,74,88,.457,21,"$73,914,333",,0
2005,East,Tampa Bay Devil Rays,67,95,.414,28,"$29,363,067",,0
2005,Central,Chicago White Sox,99,63,.611,--,"$75,178,000",,0
2005,Central,Cleveland Indians,93,69,.574,6,"$41,502,500",,0
2005,Central,Minnesota Twins,83,79,.512,16,"$56,186,000",,0
2005,Central,Detroit Tigers,71,91,.438,28,"$69,092,000",,0
2005,Central,Kansas City Royals,56,106,.346,43,"$36,881,000",,0
2005,West,Los Angeles Angels of Anaheim,95,67,.586,--,"$97,725,322",,0
2005,West,Oakland Athletics,88,74,.543,7,"$55,425,762",,0
2005,West,Texas Rangers,79,83,.488,16,"$55,849,000",,0
2005,West,Seattle Mariners,69,93,.426,26,"$87,754,334",,0
2006,East,New York Yankees,97,65,.599,--,"$194,663,079",,0
2006,East,Toronto Blue Jays,87,75,.537,10,"$71,915,000",,0
2006,East,Boston Red Sox,86,76,.531,11,"$120,099,824",,0
2006,East,Baltimore Orioles,70,92,.432,27,"$72,585,582",,0
2006,East,Tampa Bay Devil Rays,61,101,.377,36,"$35,417,967",,0
2006,Central,Minnesota Twins,96,66,.593,--,"$63,396,006",,0
2006,Central,Detroit Tigers,95,67,.586,1,"$82,612,866",,0
2006,Central,Chicago White Sox,90,72,.556,6,"$102,750,667",,0
2006,Central,Cleveland Indians,78,84,.481,18,"$56,031,500",,0
2006,Central,Kansas City Royals,62,100,.383,34,"$47,294,000",,0
2006,West,Oakland Athletics,93,69,.574,--,"$62,243,079",,0
2006,West,Los Angeles Angels,89,73,.549,4,"$103,472,000",,0
2006,West,Texas Rangers,80,82,.494,13,"$68,228,662",,0
2006,West,Seattle Mariners,78,84,.481,15,"$87,959,833",,0
2007,East,Boston Red Sox,96,66,.593,--,"$143,026,214",,0
2007,East,New York Yankees,94,68,.580,2,"$189,639,045",,0
2007,East,Toronto Blue Jays,83,79,.512,13,"$81,942,800",,0
2007,East,Baltimore Orioles,69,93,.426,27,"$93,554,808",,0
2007,East,Tampa Bay Devil Rays,66,96,.407,30,"$24,123,500",,0
2007,Central,Cleveland Indians,96,66,.593,--,"$61,673,267",,0
2007,Central,Detroit Tigers,88,74,.543,8,"$95,180,369",,0
2007,Central,Minnesota Twins,79,83,.488,17,"$71,439,500",,0
2007,Central,Chicago White Sox,72,90,.444,24,"$108,671,833",,0
2007,Central,Kansas City Royals,69,93,.426,27,"$67,116,500",,0
2007,West,Los Angeles Angels,94,68,.580,--,"$109,251,333",,0
2007,West,Seattle Mariners,88,74,.543,6,"$106,460,833",,0
2007,West,Oakland Athletics,76,86,.469,18,"$79,366,940",,0
2007,West,Texas Rangers,75,87,.463,19,"$68,318,675",,0
2008,East,Tampa Bay Rays,97,65,.599,--,"$43,820,598",,0
2008,East,Boston Red Sox,95,67,.586,2,"$133,440,037",,0
2008,East,New York Yankees,89,73,.549,8,"$209,081,579",,0
2008,East,Toronto Blue Jays,86,76,.531,11,"$98,641,957",,0
2008,East,Baltimore Orioles,68,93,.422,28½,"$67,196,248",,0
2008,Central,Chicago White Sox,89,74,.546,--,"$121,152,667",,0
2008,Central,Minnesota Twins,88,75,.540,1,"$62,182,767",,0
2008,Central,Cleveland Indians,81,81,.500,7½,"$78,970,067",,0
2008,Central,Kansas City Royals,75,87,.463,13½,"$58,245,500",,0
2008,Central,Detroit Tigers,74,88,.457,14½,"$138,685,197",,0
2008,West,Los Angeles Angels,100,62,.617,--,"$119,216,333",,0
2008,West,Texas Rangers,79,83,.488,21,"$68,239,551",,0
2008,West,Oakland Athletics,75,86,.466,24½,"$47,967,126",,0
2008,West,Seattle Mariners,61,101,.377,39,"$117,993,982",,0
2009,East,New York Yankees,103,59,.636,--,"$201,449,189",,0
2009,East,Boston Red Sox,95,67,.586,8,"$121,745,999",,0
2009,East,Tampa Bay Rays,84,78,.519,19,"$63,313,034",,0
2009,East,Toronto Blue Jays,75,87,.463,28,"$80,538,300",,0
2009,East,Baltimore Orioles,64,98,.395,39,"$67,101,666",,0
2009,Central,Minnesota Twins,87,76,.534,--,"$65,299,266",,0
2009,Central,Detroit Tigers,86,77,.528,1,"$115,085,145",,0
2009,Central,Chicago White Sox,79,83,.488,7½,"$96,068,500",,0
2009,Central,Cleveland Indians,65,97,.401,21½,"$81,579,166",,0
2009,Central,Kansas City Royals,65,97,.401,21½,"$70,519,333",,0
2009,West,Los Angeles Angels,97,65,.599,--,"$113,709,000",,0
2009,West,Texas Rangers,87,75,.537,10,"$68,178,798",,0
2009,West,Seattle Mariners,85,77,.525,12,"$98,904,166",,0
2009,West,Oakland Athletics,75,87,.463,22,"$62,310,000",,0
2010,East,Tampa Bay Rays,96,66,.593,--,"$71,923,471",,0
2010,East,New York Yankees,95,67,.586,1,"$206,333,389",,0
2010,East,Boston Red Sox,89,73,.549,7,"$162,747,333",,0
2010,East,Toronto Blue Jays,85,77,.525,11,"$62,689,357",,0
2010,East,Baltimore Orioles,66,96,.407,30,"$81,612,500",,0
2010,Central,Minnesota Twins,94,68,.580,--,"$97,559,167",,0
2010,Central,Chicago White Sox,88,74,.543,6,"$108,273,197",,0
2010,Central,Detroit Tigers,81,81,.500,13,"$122,864,929",,0
2010,Central,Cleveland Indians,69,93,.426,25,"$61,203,967",,0
2010,Central,Kansas City Royals,67,95,.414,27,"$72,267,710",,0
2010,West,Texas Rangers,90,72,.556,--,"$55,250,545",,0
2010,West,Oakland Athletics,81,81,.500,9,"$51,654,900",,0
2010,West,Los Angeles Angels,80,82,.494,10,"$105,013,667",,0
2010,West,Seattle Mariners,61,101,.377,29,"$98,376,667",,0
